Cr_1;19h-21h;Bar;8000
Cr_2;21h-23h;Bar;1000
Cr_3;23h-01h;Bar;5000
Cr_4;01h-03h;Bar;9000
Cr_5;01h-03h;Bar;5000
Cr_6;17h-18h;Camping;6000
Cr_7;18h-19h;Camping;8000
Cr_8;18h-19h;Camping;2000
Cr_9;02h-03h;Camping;3000
Cr_10;19h-21h;Entree;7000
Cr_11;21h-23h;Entree;5000
Cr_12;22h-23h;Entree;4000
Cr_13;01h-02h;Entree;3000
Cr_14;19h-20h;Secu;7000
Cr_15;21h-22h;Secu;6000
Cr_16;22h-23h;Secu;7000
Cr_17;00h-01h;Secu;9000
Cr_18;02h-03h;Secu;3000
Cr_19;19h-21h;Snack;10000
Cr_20;21h-23h;Snack;5000
Cr_21;01h-03h;Snack;2000
Cr_22;01h-03h;Snack;4000
ben_1;Camping;Secu;nochoice;ben_16;ben_8
ben_2;Camping;Secu;Bar;ben_17;ben_31
ben_3;Snack;Camping;Bar;ben_17;ben_26
ben_4;Secu;Snack;Camping;ben_33;ben_27
ben_5;Snack;Secu;Entree;ben_6;ben_16
ben_6;Snack;Entree;Secu;ben_16;ben_33
ben_7;Snack;Secu;Entree;ben_16;ben_18
ben_8;Bar;Camping;Snack;ben_32;ben_22
ben_9;Entree;Secu;Bar;ben_1;ben_25
ben_10;Camping;Bar;Secu;ben_29;ben_3
ben_11;Snack;Secu;Bar;ben_7;ben_33
ben_12;Bar;Camping;Snack;ben_20;ben_28
ben_13;Secu;Entree;Camping;ben_34;ben_30
ben_14;Bar;Snack;Camping;ben_3;ben_31
ben_15;Snack;Bar;Secu;ben_24;ben_18
ben_16;Bar;Secu;Camping;ben_6;ben_28
ben_17;Entree;Secu;Snack;ben_3;ben_28
ben_18;Camping;Entree;Bar;ben_13;ben_6
ben_19;Snack;Camping;Secu;ben_26;ben_22
ben_20;Entree;Bar;Secu;nochoice;nochoice
ben_21;Camping;Bar;Entree;ben_18;ben_11
ben_22;Entree;Snack;Camping;ben_16;ben_31
ben_23;Bar;nochoice;nochoice;ben_27;ben_7
ben_24;Secu;Snack;Entree;ben_30;ben_8
ben_25;Camping;Bar;Entree;ben_27;ben_3
ben_26;Camping;Secu;Bar;ben_31;ben_2
ben_27;Camping;Secu;Entree;ben_9;ben_24
ben_28;Bar;Secu;Snack;ben_22;ben_33
ben_29;Bar;Snack;Secu;ben_27;nochoice
ben_30;Bar;Camping;Entree;ben_19;ben_1
ben_31;Snack;Bar;Entree;ben_26;ben_30
ben_32;Entree;Bar;Snack;ben_14;ben_8
ben_33;Camping;Secu;Bar;ben_10;ben_7
ben_34;Camping;Bar;Secu;nochoice;nochoice
