Cr_1;19h-21h;Bar;2000
Cr_2;19h-21h;Bar;8000
Cr_3;19h-21h;Bar;5000
Cr_4;19h-21h;Bar;1000
Cr_5;19h-21h;Bar;10000
Cr_6;19h-21h;Bar;5000
Cr_7;19h-21h;Bar;9000
Cr_8;19h-21h;Bar;9000
Cr_9;19h-21h;Bar;3000
Cr_10;19h-21h;Bar;5000
Cr_11;19h-21h;Bar;6000
Cr_12;19h-21h;Bar;6000
Cr_13;21h-23h;Bar;2000
Cr_14;21h-23h;Bar;8000
Cr_15;21h-23h;Bar;2000
Cr_16;21h-23h;Bar;2000
Cr_17;21h-23h;Bar;6000
Cr_18;21h-23h;Bar;3000
Cr_19;21h-23h;Bar;8000
Cr_20;21h-23h;Bar;7000
Cr_21;21h-23h;Bar;2000
Cr_22;21h-23h;Bar;5000
Cr_23;21h-23h;Bar;3000
Cr_24;21h-23h;Bar;4000
Cr_25;21h-23h;Bar;3000
Cr_26;21h-23h;Bar;3000
Cr_27;21h-23h;Bar;2000
Cr_28;21h-23h;Bar;7000
Cr_29;21h-23h;Bar;9000
Cr_30;21h-23h;Bar;6000
Cr_31;21h-23h;Bar;8000
Cr_32;21h-23h;Bar;7000
Cr_33;23h-01h;Bar;2000
Cr_34;23h-01h;Bar;9000
Cr_35;23h-01h;Bar;10000
Cr_36;23h-01h;Bar;3000
Cr_37;23h-01h;Bar;8000
Cr_38;23h-01h;Bar;10000
Cr_39;23h-01h;Bar;6000
Cr_40;23h-01h;Bar;5000
Cr_41;23h-01h;Bar;4000
Cr_42;23h-01h;Bar;2000
Cr_43;23h-01h;Bar;3000
Cr_44;23h-01h;Bar;4000
Cr_45;23h-01h;Bar;4000
Cr_46;23h-01h;Bar;5000
Cr_47;23h-01h;Bar;2000
Cr_48;23h-01h;Bar;2000
Cr_49;23h-01h;Bar;4000
Cr_50;23h-01h;Bar;9000
Cr_51;01h-03h;Bar;8000
Cr_52;01h-03h;Bar;5000
Cr_53;01h-03h;Bar;3000
Cr_54;01h-03h;Bar;8000
Cr_55;01h-03h;Bar;8000
Cr_56;01h-03h;Bar;10000
Cr_57;12h-13h;Camping;4000
Cr_58;12h-13h;Camping;2000
Cr_59;12h-13h;Camping;10000
Cr_60;12h-13h;Camping;9000
Cr_61;13h-14h;Camping;7000
Cr_62;13h-14h;Camping;6000
Cr_63;13h-14h;Camping;1000
Cr_64;13h-14h;Camping;3000
Cr_65;14h-15h;Camping;9000
Cr_66;14h-15h;Camping;7000
Cr_67;14h-15h;Camping;1000
Cr_68;14h-15h;Camping;3000
Cr_69;15h-16h;Camping;5000
Cr_70;15h-16h;Camping;9000
Cr_71;15h-16h;Camping;7000
Cr_72;15h-16h;Camping;6000
Cr_73;16h-17h;Camping;1000
Cr_74;16h-17h;Camping;10000
Cr_75;16h-17h;Camping;1000
Cr_76;16h-17h;Camping;1000
Cr_77;17h-18h;Camping;7000
Cr_78;17h-18h;Camping;2000
Cr_79;17h-18h;Camping;4000
Cr_80;17h-18h;Camping;9000
Cr_81;17h-18h;Camping;10000
Cr_82;17h-18h;Camping;4000
Cr_83;17h-18h;Camping;5000
Cr_84;17h-18h;Camping;5000
Cr_85;17h-18h;Camping;7000
Cr_86;17h-18h;Camping;1000
Cr_87;18h-19h;Camping;7000
Cr_88;18h-19h;Camping;7000
Cr_89;18h-19h;Camping;2000
Cr_90;18h-19h;Camping;9000
Cr_91;18h-19h;Camping;5000
Cr_92;18h-19h;Camping;10000
Cr_93;18h-19h;Camping;7000
Cr_94;18h-19h;Camping;4000
Cr_95;18h-19h;Camping;8000
Cr_96;18h-19h;Camping;9000
Cr_97;19h-20h;Camping;9000
Cr_98;19h-20h;Camping;3000
Cr_99;19h-20h;Camping;10000
Cr_100;19h-20h;Camping;2000
Cr_101;19h-20h;Camping;4000
Cr_102;19h-20h;Camping;6000
Cr_103;20h-21h;Camping;10000
Cr_104;20h-21h;Camping;9000
Cr_105;20h-21h;Camping;5000
Cr_106;20h-21h;Camping;1000
Cr_107;20h-21h;Camping;8000
Cr_108;20h-21h;Camping;7000
Cr_109;02h-03h;Camping;4000
Cr_110;02h-03h;Camping;7000
Cr_111;02h-03h;Camping;2000
Cr_112;02h-03h;Camping;6000
Cr_113;03h-04h;Camping;5000
Cr_114;03h-04h;Camping;3000
Cr_115;03h-04h;Camping;1000
Cr_116;03h-04h;Camping;10000
Cr_117;19h-20h;Entree;8000
Cr_118;19h-20h;Entree;4000
Cr_119;19h-20h;Entree;8000
Cr_120;19h-20h;Entree;3000
Cr_121;19h-21h;Entree;7000
Cr_122;19h-21h;Entree;1000
Cr_123;19h-21h;Entree;2000
Cr_124;19h-21h;Entree;7000
Cr_125;19h-21h;Entree;6000
Cr_126;19h-21h;Entree;8000
Cr_127;19h-21h;Entree;6000
Cr_128;19h-21h;Entree;5000
Cr_129;20h-21h;Entree;2000
Cr_130;20h-21h;Entree;3000
Cr_131;20h-21h;Entree;1000
Cr_132;20h-21h;Entree;1000
Cr_133;21h-22h;Entree;2000
Cr_134;21h-22h;Entree;5000
Cr_135;21h-22h;Entree;7000
Cr_136;21h-22h;Entree;1000
Cr_137;21h-23h;Entree;8000
Cr_138;21h-23h;Entree;2000
Cr_139;21h-23h;Entree;8000
Cr_140;21h-23h;Entree;8000
Cr_141;21h-23h;Entree;8000
Cr_142;21h-23h;Entree;8000
Cr_143;21h-23h;Entree;4000
Cr_144;21h-23h;Entree;4000
Cr_145;22h-23h;Entree;6000
Cr_146;22h-23h;Entree;10000
Cr_147;22h-23h;Entree;10000
Cr_148;22h-23h;Entree;9000
Cr_149;23h-00h;Entree;2000
Cr_150;23h-00h;Entree;9000
Cr_151;23h-00h;Entree;3000
Cr_152;23h-00h;Entree;7000
Cr_153;23h-00h;Entree;7000
Cr_154;23h-00h;Entree;1000
Cr_155;23h-00h;Entree;4000
Cr_156;23h-00h;Entree;9000
Cr_157;23h-00h;Entree;1000
Cr_158;23h-00h;Entree;2000
Cr_159;00h-01h;Entree;3000
Cr_160;00h-01h;Entree;6000
Cr_161;00h-01h;Entree;1000
Cr_162;00h-01h;Entree;10000
Cr_163;01h-02h;Entree;5000
Cr_164;01h-02h;Entree;8000
Cr_165;01h-02h;Entree;9000
Cr_166;01h-02h;Entree;4000
Cr_167;02h-03h;Entree;6000
Cr_168;02h-03h;Entree;2000
Cr_169;02h-03h;Entree;3000
Cr_170;02h-03h;Entree;1000
Cr_171;19h-20h;Secu;2000
Cr_172;19h-20h;Secu;7000
Cr_173;19h-20h;Secu;5000
Cr_174;19h-20h;Secu;1000
Cr_175;19h-20h;Secu;7000
Cr_176;19h-20h;Secu;2000
Cr_177;19h-20h;Secu;9000
Cr_178;19h-20h;Secu;10000
Cr_179;20h-21h;Secu;9000
Cr_180;20h-21h;Secu;5000
Cr_181;20h-21h;Secu;2000
Cr_182;20h-21h;Secu;5000
Cr_183;20h-21h;Secu;4000
Cr_184;20h-21h;Secu;10000
Cr_185;20h-21h;Secu;9000
Cr_186;20h-21h;Secu;9000
Cr_187;21h-22h;Secu;1000
Cr_188;21h-22h;Secu;9000
Cr_189;21h-22h;Secu;8000
Cr_190;21h-22h;Secu;8000
Cr_191;21h-22h;Secu;9000
Cr_192;21h-22h;Secu;4000
Cr_193;21h-22h;Secu;9000
Cr_194;21h-22h;Secu;4000
Cr_195;22h-23h;Secu;8000
Cr_196;22h-23h;Secu;2000
Cr_197;22h-23h;Secu;1000
